
src-ip=41.55.55.0/24  , dst-ip=0.0.0.0/0  , src-port=0-65535  , dst-port=0-65535






src-ip=229.100.215.156/32  , dst-ip=226.160.54.127/32  , src-port=123-123  , dst-port=0-65535


src-ip=220.53.65.133/32  , dst-ip=150.176.183.54/32  , src-port=123-123  , dst-port=0-65535
src-ip=247.84.106.161/32,dst-ip=184.4.62.4/32,src-port=119-119,dst-port=0-65535  








src-ip=248.3.249.77/32,dst-ip=185.190.142.133/32,src-port=53-53,dst-port=0-65535  
src-ip=232.130.197.246/32  , dst-ip=182.95.161.187/32  , src-port=53-53  , dst-port=0-65535 












src-ip=222.149.33.129/32  , dst-ip=149.64.21.102/32  , src-port=123-123  , dst-port=0-65535











src-ip=0.0.0.0/0  , dst-ip=15.43.135.0/24  , src-port=0-65535  , dst-port=0-65535 
src-ip=240.128.41.87/32  , dst-ip=176.231.117.253/32  , src-port=20-20  , dst-port=0-65535 


src-ip=211.165.247.115/32  , dst-ip=154.146.168.180/32  , src-port=53-53  , dst-port=0-65535 
src-ip=225.67.145.240/32  , dst-ip=152.167.85.27/32  , src-port=25-25  , dst-port=0-65535














src-ip=234.249.119.176/32,dst-ip=183.194.38.134/32,src-port=123-123,dst-port=0-65535  




src-ip=251.117.126.87/32  , dst-ip=185.106.148.74/32  , src-port=25-25  , dst-port=0-65535 

src-ip=224.80.77.230/32,dst-ip=156.50.18.182/32,src-port=53-53,dst-port=0-65535 



src-ip=255.174.107.144/32,dst-ip=191.91.51.33/32,src-port=25-25,dst-port=0-65535  
src-ip=229.109.80.142/32  , dst-ip=158.26.139.123/32  , src-port=53-53  , dst-port=0-65535 
src-ip=246.132.188.125/32  , dst-ip=187.19.197.50/32  , src-port=53-53  , dst-port=0-65535 
src-ip=253.145.84.201/32,dst-ip=189.112.138.228/32,src-port=53-53,dst-port=0-65535  
